,txs
2019-07-20,5
2019-07-21,0
2019-07-22,0
2019-07-23,0
2019-07-24,0
2019-07-25,2
2019-07-26,0
2019-07-27,0
2019-07-28,0
2019-07-29,2
2019-07-30,2
2019-07-31,1
2019-08-01,0
2019-08-02,4
2019-08-03,0
2019-08-04,0
2019-08-05,5
2019-08-06,7
2019-08-07,3
2019-08-08,7
2019-08-09,3
2019-08-10,1
2019-08-11,1
2019-08-12,3
2019-08-13,6
2019-08-14,4
2019-08-15,7
2019-08-16,1
2019-08-17,6
2019-08-18,2
2019-08-19,5
2019-08-20,5
2019-08-21,9
2019-08-22,8
2019-08-23,10
2019-08-24,7
2019-08-25,10
2019-08-26,6
2019-08-27,6
2019-08-28,5
2019-08-29,6
2019-08-30,5
2019-08-31,1
2019-09-01,8
2019-09-02,6
2019-09-03,9
2019-09-04,7
2019-09-05,10
2019-09-06,5
2019-09-07,6
2019-09-08,7
2019-09-09,12
2019-09-10,7
2019-09-11,4
2019-09-12,6
2019-09-13,8
2019-09-14,4
2019-09-15,6
2019-09-16,11
2019-09-17,9
2019-09-18,4
2019-09-19,9
2019-09-20,11
2019-09-21,4
2019-09-22,7
2019-09-23,11
2019-09-24,7
2019-09-25,6
2019-09-26,4
2019-09-27,1
2019-09-28,3
2019-09-29,5
2019-09-30,8
2019-10-01,5
2019-10-02,7
2019-10-03,7
2019-10-04,5
2019-10-05,4
2019-10-06,5
2019-10-07,6
2019-10-08,15
2019-10-09,10
2019-10-10,13
2019-10-11,9
2019-10-12,6
2019-10-13,4
2019-10-14,10
2019-10-15,14
2019-10-16,13
2019-10-17,11
2019-10-18,8
2019-10-19,4
2019-10-20,6
2019-10-21,17
2019-10-22,32
2019-10-23,15
2019-10-24,19
2019-10-25,15
2019-10-26,9
2019-10-27,98
2019-10-28,320
2019-10-29,299
2019-10-30,274
2019-10-31,209
2019-11-01,16
2019-11-02,8
2019-11-03,8
2019-11-04,14
2019-11-05,14
2019-11-06,19
2019-11-07,13
2019-11-08,21
2019-11-09,11
2019-11-10,9
2019-11-11,8
2019-11-12,27
2019-11-13,25
2019-11-14,21
2019-11-15,23
2019-11-16,8
2019-11-17,9
2019-11-18,18
2019-11-19,24
2019-11-20,24
2019-11-21,67
2019-11-22,18
2019-11-23,5
2019-11-24,9
2019-11-25,16
2019-11-26,18
2019-11-27,23
2019-11-28,17
2019-11-29,16
2019-11-30,14
2019-12-01,6
2019-12-02,27
2019-12-03,17
2019-12-04,20
2019-12-05,20
2019-12-06,14
2019-12-07,4
2019-12-08,8
2019-12-09,17
2019-12-10,15
2019-12-11,22
2019-12-12,17
2019-12-13,20
2019-12-14,13
2019-12-15,10
2019-12-16,17
2019-12-17,20
2019-12-18,25
2019-12-19,27
2019-12-20,29
2019-12-21,13
2019-12-22,16
2019-12-23,21
2019-12-24,28
2019-12-25,18
2019-12-26,24
2019-12-27,17
2019-12-28,24
2019-12-29,19
2019-12-30,24
2019-12-31,26
2020-01-01,22
2020-01-02,20
2020-01-03,34
2020-01-04,20
2020-01-05,15
2020-01-06,31
2020-01-07,27
2020-01-08,34
2020-01-09,22
2020-01-10,31
2020-01-11,32
2020-01-12,16
2020-01-13,35
2020-01-14,49
2020-01-15,62
2020-01-16,45
2020-01-17,45
2020-01-18,24
2020-01-19,23
2020-01-20,25
2020-01-21,40
2020-01-22,42
2020-01-23,29
2020-01-24,20
2020-01-25,16
2020-01-26,17
2020-01-27,27
2020-01-28,33
2020-01-29,30
2020-01-30,25
2020-01-31,40
2020-02-01,29
2020-02-02,19
2020-02-03,25
2020-02-04,34
2020-02-05,48
2020-02-06,52
2020-02-07,36
2020-02-08,29
2020-02-09,31
2020-02-10,50
2020-02-11,53
2020-02-12,44
2020-02-13,55
2020-02-14,55
2020-02-15,33
2020-02-16,30
2020-02-17,41
2020-02-18,37
2020-02-19,50
2020-02-20,52
2020-02-21,51
2020-02-22,23
2020-02-23,28
2020-02-24,44
2020-02-25,48
2020-02-26,59
2020-02-27,57
2020-02-28,45
2020-02-29,26
2020-03-01,15
2020-03-02,47
2020-03-03,37
2020-03-04,33
2020-03-05,38
2020-03-06,31
2020-03-07,32
2020-03-08,40
2020-03-09,58
2020-03-10,44
2020-03-11,55
2020-03-12,40
2020-03-13,104
2020-03-14,45
2020-03-15,37
2020-03-16,65
2020-03-17,61
2020-03-18,69
2020-03-19,68
2020-03-20,51
2020-03-21,31
2020-03-22,25
2020-03-23,51
2020-03-24,52
2020-03-25,52
2020-03-26,41
2020-03-27,46
2020-03-28,50
2020-03-29,32
2020-03-30,60
2020-03-31,58
2020-04-01,70
2020-04-02,47
2020-04-03,59
2020-04-04,26
2020-04-05,22
2020-04-06,49
2020-04-07,61
2020-04-08,53
2020-04-09,59
2020-04-10,61
2020-04-11,39
2020-04-12,33
2020-04-13,61
2020-04-14,79
2020-04-15,68
2020-04-16,78
2020-04-17,56
2020-04-18,31
2020-04-19,35
2020-04-20,46
2020-04-21,54
2020-04-22,43
2020-04-23,56
2020-04-24,45
2020-04-25,35
2020-04-26,29
2020-04-27,51
2020-04-28,74
2020-04-29,49
2020-04-30,64
2020-05-01,37
